V,IDS 150,IDS 151,IDS 152
-0.6,6.771657e-05,6.86079e-05,6.77297e-05
-0.58,6.768523e-05,6.840597e-05,6.770037e-05
-0.56,6.76715e-05,6.83577e-05,6.769493e-05
-0.54,6.76516e-05,6.832327e-05,6.768303e-05
-0.52,6.76298e-05,6.828657e-05,6.766553e-05
-0.5,6.760847e-05,6.826377e-05,6.76448e-05
-0.48,6.758617e-05,6.823153e-05,6.76241e-05
-0.46,6.756143e-05,6.82034e-05,6.7602e-05
-0.44,6.75367e-05,6.817287e-05,6.758153e-05
-0.42,6.751033e-05,6.81403e-05,6.755433e-05
-0.4,6.748093e-05,6.81096e-05,6.75326e-05
-0.38,6.745707e-05,6.807733e-05,6.751197e-05
-0.36,6.742823e-05,6.804753e-05,6.748803e-05
-0.34,6.7401e-05,6.80163e-05,6.74679e-05
-0.32,6.737727e-05,6.798727e-05,6.74449e-05
-0.3,6.73517e-05,6.795483e-05,6.742283e-05
-0.28,6.73277e-05,6.79214e-05,6.739943e-05
-0.26,6.730433e-05,6.78891e-05,6.737807e-05
-0.24,6.72803e-05,6.785363e-05,6.73571e-05
-0.22,6.72541e-05,6.78223e-05,6.733613e-05
-0.2,6.723097e-05,6.779173e-05,6.731823e-05
-0.18,6.72089e-05,6.776047e-05,6.730127e-05
-0.16,6.718323e-05,6.773027e-05,6.72822e-05
-0.14,6.716083e-05,6.769693e-05,6.726533e-05
-0.12,6.714023e-05,6.76654e-05,6.724857e-05
-0.1,6.712323e-05,6.763623e-05,6.72344e-05
-0.08,6.71053e-05,6.760657e-05,6.722247e-05
-0.06,6.70936e-05,6.7579e-05,6.7206e-05
-0.04,6.707537e-05,6.755163e-05,6.719093e-05
-0.02,6.7063e-05,6.75195e-05,6.71798e-05
0.0,6.704887e-05,6.749033e-05,6.717073e-05
0.02,6.704043e-05,6.7465e-05,6.716023e-05
0.04,6.702957e-05,6.743843e-05,6.715017e-05
0.06,6.702143e-05,6.741267e-05,6.714697e-05
0.08,6.701273e-05,6.738933e-05,6.713983e-05
0.1,6.70059e-05,6.736787e-05,6.713417e-05
0.12,6.699767e-05,6.733973e-05,6.712947e-05
0.14,6.699603e-05,6.731573e-05,6.712477e-05
0.16,6.699673e-05,6.72926e-05,6.71209e-05
0.18,6.69914e-05,6.72681e-05,6.711707e-05
0.2,6.699083e-05,6.72479e-05,6.711567e-05
0.22,6.698663e-05,6.723027e-05,6.711353e-05
0.24,6.698717e-05,6.721207e-05,6.7112e-05
0.26,6.698657e-05,6.71962e-05,6.710627e-05
0.28,6.698663e-05,6.717957e-05,6.710333e-05
0.3,6.698777e-05,6.71627e-05,6.710197e-05
0.32,6.6987e-05,6.71513e-05,6.71016e-05
0.34,6.698703e-05,6.713633e-05,6.70987e-05
0.36,6.698947e-05,6.71255e-05,6.70954e-05
0.38,6.699183e-05,6.711557e-05,6.709423e-05
0.4,6.699473e-05,6.710397e-05,6.709643e-05
0.42,6.6998e-05,6.70986e-05,6.70969e-05
0.44,6.70024e-05,6.7095e-05,6.709983e-05
0.46,6.700637e-05,6.708727e-05,6.70997e-05
0.48,6.70123e-05,6.708273e-05,6.709797e-05
0.5,6.70164e-05,6.70755e-05,6.710023e-05
0.52,6.70227e-05,6.707203e-05,6.71011e-05
0.54,6.70287e-05,6.70696e-05,6.710247e-05
0.56,6.70346e-05,6.706573e-05,6.710193e-05
0.58,6.702647e-05,6.706313e-05,6.71031e-05
0.6,6.70429e-05,6.706057e-05,6.710223e-05
-0.6,6.76917e-05,6.831923e-05,6.774407e-05
-0.58,6.761647e-05,6.820717e-05,6.76398e-05
-0.56,6.761633e-05,6.820593e-05,6.764497e-05
-0.54,6.760663e-05,6.819287e-05,6.763943e-05
-0.52,6.759323e-05,6.81762e-05,6.763037e-05
-0.5,6.75763e-05,6.815753e-05,6.761843e-05
-0.48,6.755717e-05,6.812967e-05,6.760037e-05
-0.46,6.753987e-05,6.81046e-05,6.758323e-05
-0.44,6.75167e-05,6.807873e-05,6.756357e-05
-0.42,6.749397e-05,6.804747e-05,6.75405e-05
-0.4,6.74681e-05,6.802087e-05,6.752217e-05
-0.38,6.74428e-05,6.798957e-05,6.75007e-05
-0.36,6.741773e-05,6.79604e-05,6.747833e-05
-0.34,6.73935e-05,6.79287e-05,6.74543e-05
-0.32,6.73712e-05,6.789663e-05,6.74341e-05
-0.3,6.734887e-05,6.786687e-05,6.74158e-05
-0.28,6.732453e-05,6.783767e-05,6.73963e-05
-0.26,6.730243e-05,6.780613e-05,6.73789e-05
-0.24,6.727893e-05,6.777877e-05,6.735697e-05
-0.22,6.725883e-05,6.774753e-05,6.733987e-05
-0.2,6.723387e-05,6.772173e-05,6.732077e-05
-0.18,6.721387e-05,6.76916e-05,6.73004e-05
-0.16,6.719163e-05,6.76616e-05,6.728337e-05
-0.14,6.717213e-05,6.76321e-05,6.726433e-05
-0.12,6.714987e-05,6.760043e-05,6.724963e-05
-0.1,6.713097e-05,6.757387e-05,6.72318e-05
-0.08,6.711463e-05,6.754897e-05,6.721407e-05
-0.06,6.709973e-05,6.75209e-05,6.71996e-05
-0.04,6.708707e-05,6.749453e-05,6.718503e-05
-0.02,6.707423e-05,6.74624e-05,6.717397e-05
0.0,6.70623e-05,6.743793e-05,6.716087e-05
0.02,6.70505e-05,6.741443e-05,6.71484e-05
0.04,6.703887e-05,6.739083e-05,6.713933e-05
0.06,6.702953e-05,6.73653e-05,6.712977e-05
0.08,6.702e-05,6.734453e-05,6.711927e-05
0.1,6.70123e-05,6.73221e-05,6.711167e-05
0.12,6.700643e-05,6.72987e-05,6.71028e-05
0.14,6.699733e-05,6.72752e-05,6.71001e-05
0.16,6.69927e-05,6.725587e-05,6.709537e-05
0.18,6.69861e-05,6.724137e-05,6.709127e-05
0.2,6.698277e-05,6.722183e-05,6.70899e-05
0.22,6.698093e-05,6.720727e-05,6.708413e-05
0.24,6.69807e-05,6.71931e-05,6.708617e-05
0.26,6.697793e-05,6.718057e-05,6.708307e-05
0.28,6.69739e-05,6.716693e-05,6.707883e-05
0.3,6.697487e-05,6.715203e-05,6.707807e-05
0.32,6.697737e-05,6.714157e-05,6.70758e-05
0.34,6.697517e-05,6.712897e-05,6.70724e-05
0.36,6.697867e-05,6.71192e-05,6.706997e-05
0.38,6.69772e-05,6.71079e-05,6.706887e-05
0.4,6.698277e-05,6.71011e-05,6.70681e-05
0.42,6.69823e-05,6.709117e-05,6.706887e-05
0.44,6.698687e-05,6.70863e-05,6.706857e-05
0.46,6.699143e-05,6.707683e-05,6.7073e-05
0.48,6.699763e-05,6.707247e-05,6.707307e-05
0.5,6.700363e-05,6.707073e-05,6.707543e-05
0.52,6.700843e-05,6.70656e-05,6.707927e-05
0.54,6.701363e-05,6.706197e-05,6.708443e-05
0.56,6.70227e-05,6.70611e-05,6.70858e-05
0.58,6.702743e-05,6.706173e-05,6.708857e-05
0.6,6.703493e-05,6.705993e-05,6.70895e-05
-0.6,6.77074e-05,6.816243e-05,6.774757e-05
-0.58,6.763657e-05,6.816327e-05,6.7688e-05
-0.56,6.76352e-05,6.81664e-05,6.768833e-05
-0.54,6.7629e-05,6.81597e-05,6.76812e-05
-0.52,6.76147e-05,6.814283e-05,6.76651e-05
-0.5,6.759913e-05,6.812483e-05,6.764863e-05
-0.48,6.75775e-05,6.810233e-05,6.763033e-05
-0.46,6.755643e-05,6.80801e-05,6.761083e-05
-0.44,6.753163e-05,6.805327e-05,6.758793e-05
-0.42,6.750773e-05,6.802653e-05,6.756737e-05
-0.4,6.748437e-05,6.800067e-05,6.754597e-05
-0.38,6.745983e-05,6.79724e-05,6.7526e-05
-0.36,6.743437e-05,6.79458e-05,6.7504e-05
-0.34,6.741157e-05,6.79169e-05,6.74861e-05
-0.32,6.738627e-05,6.78882e-05,6.746347e-05
-0.3,6.73645e-05,6.785687e-05,6.744193e-05
-0.28,6.734127e-05,6.782737e-05,6.742187e-05
-0.26,6.73138e-05,6.779817e-05,6.739777e-05
-0.24,6.729113e-05,6.776697e-05,6.737743e-05
-0.22,6.727133e-05,6.773773e-05,6.735787e-05
-0.2,6.72499e-05,6.77076e-05,6.733637e-05
-0.18,6.722917e-05,6.767467e-05,6.731697e-05
-0.16,6.72068e-05,6.764467e-05,6.72969e-05
-0.14,6.718647e-05,6.76167e-05,6.72783e-05
-0.12,6.71642e-05,6.759063e-05,6.72589e-05
-0.1,6.714063e-05,6.75642e-05,6.72461e-05
-0.08,6.712003e-05,6.753783e-05,6.723013e-05
-0.06,6.710547e-05,6.75128e-05,6.72157e-05
-0.04,6.70926e-05,6.74894e-05,6.720163e-05
-0.02,6.708057e-05,6.746233e-05,6.719017e-05
0.0,6.706667e-05,6.743843e-05,6.71774e-05
0.02,6.705513e-05,6.74168e-05,6.716387e-05
0.04,6.704607e-05,6.73955e-05,6.715367e-05
0.06,6.703607e-05,6.73733e-05,6.714047e-05
0.08,6.70265e-05,6.73518e-05,6.713303e-05
0.1,6.7016e-05,6.73309e-05,6.712287e-05
0.12,6.70088e-05,6.73109e-05,6.711677e-05
0.14,6.700253e-05,6.729327e-05,6.710677e-05
0.16,6.69957e-05,6.72743e-05,6.710213e-05
0.18,6.698807e-05,6.725643e-05,6.709473e-05
0.2,6.69865e-05,6.723923e-05,6.709217e-05
0.22,6.697933e-05,6.722687e-05,6.70872e-05
0.24,6.69763e-05,6.72112e-05,6.708203e-05
0.26,6.697257e-05,6.71996e-05,6.707823e-05
0.28,6.697093e-05,6.7186e-05,6.707457e-05
0.3,6.69681e-05,6.7173e-05,6.70708e-05
0.32,6.69674e-05,6.715963e-05,6.70688e-05
0.34,6.69695e-05,6.714897e-05,6.707047e-05
0.36,6.697337e-05,6.7142e-05,6.706903e-05
0.38,6.697463e-05,6.713233e-05,6.706667e-05
0.4,6.697747e-05,6.71226e-05,6.706603e-05
0.42,6.697853e-05,6.711797e-05,6.70645e-05
0.44,6.698033e-05,6.711293e-05,6.706497e-05
0.46,6.69817e-05,6.710787e-05,6.70655e-05
0.48,6.698657e-05,6.70991e-05,6.706457e-05
0.5,6.699163e-05,6.70918e-05,6.706803e-05
0.52,6.699887e-05,6.7087e-05,6.707173e-05
0.54,6.700217e-05,6.708367e-05,6.707163e-05
0.56,6.70077e-05,6.708253e-05,6.707283e-05
0.58,6.701257e-05,6.70804e-05,6.707523e-05
0.6,6.702e-05,6.70774e-05,6.70743e-05
-0.6,6.770667e-05,6.81766e-05,6.776397e-05
-0.58,6.76416e-05,6.81085e-05,6.76869e-05
-0.56,6.764593e-05,6.81094e-05,6.769333e-05
-0.54,6.763813e-05,6.810057e-05,6.768733e-05
-0.52,6.76261e-05,6.808747e-05,6.767523e-05
-0.5,6.7609e-05,6.80716e-05,6.766013e-05
-0.48,6.75902e-05,6.805133e-05,6.764063e-05
-0.46,6.756893e-05,6.802647e-05,6.76223e-05
-0.44,6.754663e-05,6.80013e-05,6.760247e-05
-0.42,6.752313e-05,6.7976e-05,6.758267e-05
-0.4,6.749543e-05,6.79478e-05,6.75613e-05
-0.38,6.746967e-05,6.79185e-05,6.753957e-05
-0.36,6.744823e-05,6.788957e-05,6.75217e-05
-0.34,6.742463e-05,6.78616e-05,6.75001e-05
-0.32,6.739947e-05,6.783223e-05,6.747937e-05
-0.3,6.737377e-05,6.780487e-05,6.745917e-05
-0.28,6.734873e-05,6.77789e-05,6.743587e-05
-0.26,6.732557e-05,6.774807e-05,6.741137e-05
-0.24,6.730347e-05,6.771683e-05,6.739167e-05
-0.22,6.72815e-05,6.769087e-05,6.737353e-05
-0.2,6.72586e-05,6.766383e-05,6.735137e-05
-0.18,6.723503e-05,6.763807e-05,6.733003e-05
-0.16,6.721287e-05,6.761227e-05,6.731093e-05
-0.14,6.719713e-05,6.758273e-05,6.729323e-05
-0.12,6.717973e-05,6.75581e-05,6.72736e-05
-0.1,6.715733e-05,6.75325e-05,6.7258e-05
-0.08,6.713603e-05,6.750833e-05,6.724037e-05
-0.06,6.712243e-05,6.748163e-05,6.72275e-05
-0.04,6.71051e-05,6.74581e-05,6.721143e-05
-0.02,6.708993e-05,6.743607e-05,6.71963e-05
0.0,6.707493e-05,6.74143e-05,6.7183e-05
0.02,6.70624e-05,6.73898e-05,6.716633e-05
0.04,6.70478e-05,6.736467e-05,6.715467e-05
0.06,6.703317e-05,6.734363e-05,6.714147e-05
0.08,6.702583e-05,6.732383e-05,6.71337e-05
0.1,6.70195e-05,6.730563e-05,6.712083e-05
0.12,6.70115e-05,6.72883e-05,6.711427e-05
0.14,6.70031e-05,6.727173e-05,6.710543e-05
0.16,6.699583e-05,6.725823e-05,6.710347e-05
0.18,6.699203e-05,6.724047e-05,6.70975e-05
0.2,6.69875e-05,6.722507e-05,6.70915e-05
0.22,6.698243e-05,6.721377e-05,6.70843e-05
0.24,6.697887e-05,6.720157e-05,6.7081e-05
0.26,6.69761e-05,6.719013e-05,6.707303e-05
0.28,6.69739e-05,6.717837e-05,6.70703e-05
0.3,6.697337e-05,6.71661e-05,6.70666e-05
0.32,6.697383e-05,6.715517e-05,6.70644e-05
0.34,6.6972e-05,6.714483e-05,6.706007e-05
0.36,6.69725e-05,6.71361e-05,6.705907e-05
0.38,6.697447e-05,6.712857e-05,6.705737e-05
0.4,6.697607e-05,6.712047e-05,6.70595e-05
0.42,6.697577e-05,6.711377e-05,6.70596e-05
0.44,6.697997e-05,6.710713e-05,6.706063e-05
0.46,6.698367e-05,6.710127e-05,6.706277e-05
0.48,6.69883e-05,6.709747e-05,6.70627e-05
0.5,6.699473e-05,6.709237e-05,6.70643e-05
0.52,6.700027e-05,6.70898e-05,6.7069e-05
0.54,6.70063e-05,6.708813e-05,6.707063e-05
0.56,6.701097e-05,6.708647e-05,6.70738e-05
0.58,6.70159e-05,6.708517e-05,6.707573e-05
0.6,6.701937e-05,6.708253e-05,6.707803e-05
