V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,1.4655749999999742e-05,
-0.56,1.4649000000000259e-05,
-0.54,1.4571000000000115e-05,
-0.52,1.4623499999999803e-05,
-0.5,1.448749999999983e-05,
-0.48,1.462250000000033e-05,
-0.46,1.4703999999999932e-05,
-0.44,1.4658249999999727e-05,
-0.42,1.4550000000000327e-05,
-0.4,1.45150000000001e-05,
-0.38,1.453599999999989e-05,
-0.36,1.4646749999999709e-05,
-0.34,1.4646499999999407e-05,
-0.32,1.4423250000000255e-05,
-0.3,1.4316750000000367e-05,
-0.28,1.4236750000000409e-05,
-0.26,1.4202500000000222e-05,
-0.24,1.38932499999995e-05,
-0.22,1.3633249999999743e-05,
-0.2,1.344175000000036e-05,
-0.18,1.3100999999999738e-05,
-0.16,1.2709000000000071e-05,
-0.14,1.2575750000000385e-05,
-0.12,1.2323500000000018e-05,
-0.1,1.1844250000000306e-05,
-0.08,1.137399999999976e-05,
-0.06,1.0808250000000474e-05,
-0.04,1.040100000000016e-05,
-0.02,9.934249999999506e-06,
0.0,9.348249999999603e-06,
0.02,8.846500000000458e-06,
0.04,8.571750000000225e-06,
0.06,8.224249999999687e-06,
0.08,7.1874999999998156e-06,
0.1,6.2757500000000695e-06,
0.12,5.910750000000069e-06,
0.14,5.519999999999744e-06,
0.16,4.909250000000292e-06,
0.18,4.191750000000216e-06,
0.2,3.895749999999459e-06,
0.22,3.564249999999606e-06,
0.24,2.857500000000377e-06,
0.26,2.4757500000000855e-06,
0.28,2.0900000000001646e-06,
0.3,1.4717499999998898e-06,
0.32,1.1924999999998569e-06,
0.34,8.457499999997911e-07,
0.36,2.407500000003483e-07,
0.38,5.999999999964367e-08,
0.4,2.590000000002833e-07,
0.42,5.50750000000242e-07,
0.44,7.292499999999626e-07,
0.46,1.0284999999998767e-06,
0.48,1.3317499999998539e-06,
0.5,1.463250000000027e-06,
0.52,1.302500000000071e-06,
0.54,1.1432500000001927e-06,
0.56,8.85000000000382e-07,
0.58,8.892499999998797e-07,
0.6,,
0.58,,7.426750000000086e-06
0.56,,6.435000000000381e-06
0.54,,5.8014999999998935e-06
0.52,,5.508499999999725e-06
0.5,,5.007499999999752e-06
0.48,,4.7650000000003245e-06
0.46,,4.557500000000256e-06
0.44,,4.3057500000000595e-06
0.42,,3.9642499999998325e-06
0.4,,3.3167499999997747e-06
0.38,,2.872500000000288e-06
0.36,,2.7700000000000294e-06
0.34,,2.5057499999999074e-06
0.32,,2.0007499999998707e-06
0.3,,1.385999999999922e-06
0.28,,8.032499999996098e-07
0.26,,1.474999999999914e-07
0.24,,5.457500000007054e-07
0.22,,1.1360000000001057e-06
0.2,,1.8224999999995849e-06
0.18,,2.6932500000005286e-06
0.16,,3.589250000000325e-06
0.14,,4.406749999999807e-06
0.12,,5.4365000000003265e-06
0.1,,6.521499999999521e-06
0.08,,7.71349999999964e-06
0.06,,8.801749999999726e-06
0.04,,9.799999999999913e-06
0.02,,1.086175000000007e-05
0.0,,1.1860000000000256e-05
-0.02,,1.3047499999999709e-05
-0.04,,1.4013999999999693e-05
-0.06,,1.4767500000000336e-05
-0.08,,1.568000000000012e-05
-0.1,,1.6374999999999897e-05
-0.12,,1.6900999999999288e-05
-0.14,,1.7398999999999974e-05
-0.16,,1.7813250000000072e-05
-0.18,,1.8181749999999965e-05
-0.2,,1.85875000000002e-05
-0.22,,1.8690000000000026e-05
-0.24,,1.8694249999999957e-05
-0.26,,1.8679999999999652e-05
-0.28,,1.8637499999999904e-05
-0.3,,1.87992500000002e-05
-0.32,,1.873499999999976e-05
-0.34,,1.8493999999999542e-05
-0.36,,1.822325000000024e-05
-0.38,,1.7636750000000166e-05
-0.4,,1.720324999999979e-05
-0.42,,1.6735749999999966e-05
-0.44,,1.5892499999999726e-05
-0.46,,1.543599999999975e-05
-0.48,,1.49925000000003e-05
-0.5,,1.4341499999999917e-05
-0.52,,1.3470000000000235e-05
-0.54,,1.2606750000000114e-05
-0.56,,1.218500000000006e-05
-0.58,,1.1440000000000148e-05
-0.6,,1.0848499999999959e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
