Type,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],IDSant (2-3s) [A],"IDSdep (+3, +4s) [A]","IDSdep (+3, +4s) [A]",delIDS [A],delIDS [A],RatioIDS,RatioIDS
,,,,,mean,std,mean,std,mean,std,mean,std
Enode,KCl,-0.8,0.105,10,8.163345074626865e-06,4.407788637973949e-07,8.286547810945274e-06,4.019958128362816e-07,1.232027363184076e-07,4.2210393960029784e-08,1.015297198017857,0.005967164241893848
Enode,KCl,-0.8,0.105,20,8.064557578772803e-06,4.468395352841103e-07,8.377921840796019e-06,3.896639269583279e-07,3.133642620232176e-07,6.356407365869794e-08,1.0392140896044157,0.010148669678052655
Enode,KCl,-0.8,0.105,50,8.093460199004975e-06,4.983513522549398e-07,8.583365870646765e-06,4.352875599420806e-07,4.89905671641791e-07,6.522496242692341e-08,1.0610232127764376,0.012120310509123556
Enode,KCl,-0.8,0.11,10,8.112656451077942e-06,5.413478112710334e-07,8.296788407960199e-06,5.156392175224972e-07,1.841319568822559e-07,2.5708681012498255e-08,1.022914080133645,0.004882626208110615
Enode,KCl,-0.8,0.11,20,8.036722172470977e-06,4.862053962311904e-07,8.35038303482587e-06,4.3761493310139055e-07,3.136608623548924e-07,6.855885243426636e-08,1.039391936459116,0.010540754789086677
Enode,KCl,-0.8,0.11,50,8.080471956882255e-06,4.802089939825453e-07,8.54574464344942e-06,3.8943938967327857e-07,4.652726865671635e-07,9.582376136821014e-08,1.0581878949936439,0.01574124702217883
Enode,KCl,-0.8,0.125,10,7.996946301824211e-06,5.261232222759111e-07,8.248610414593698e-06,4.7481116410057006e-07,2.5166411276948645e-07,7.84055457810908e-08,1.0318727735746236,0.011354977880096486
Enode,KCl,-0.8,0.125,20,7.947384411276948e-06,5.772931482533918e-07,8.300524825870648e-06,4.578284640095654e-07,3.5314041459369843e-07,1.197882130875737e-07,1.0453616349403563,0.019164706331836947
Enode,KCl,-0.8,0.125,50,7.976484908789386e-06,4.638060948849502e-07,8.445414610281923e-06,3.9289040795424743e-07,4.6892970149253603e-07,7.695211788052553e-08,1.0592850137555274,0.013179164936236653
Enode,KCl,-0.8,0.15,10,7.923325174129353e-06,5.003627150119159e-07,8.157058490878937e-06,5.157186112319779e-07,2.337333167495845e-07,1.6153137619511377e-08,1.0294963149260126,0.0006237817780127542
Enode,KCl,-0.8,0.15,20,7.933269237147596e-06,5.176743422056581e-07,8.267292603648424e-06,4.525931806684345e-07,3.3402336650082793e-07,6.689216194814452e-08,1.0426020897511639,0.011598715617115448
Enode,KCl,-0.8,0.15,50,7.940524461028192e-06,5.010495207458832e-07,8.42528943615257e-06,4.48531542063566e-07,4.847649751243785e-07,7.158742723105135e-08,1.0615210973997902,0.012533561223653714
Enode,KCl,-0.8,0.25,10,7.772188358208955e-06,5.292370137971439e-07,8.060722205638474e-06,5.229404963723018e-07,2.885338474295172e-07,1.3642078163072182e-08,1.037282650389681,0.0037958515557373635
Enode,KCl,-0.8,0.25,20,7.736484958540631e-06,4.798484790269423e-07,8.085552603648424e-06,5.080476718969718e-07,3.490676451077937e-07,3.321307669195683e-08,1.045084490605671,0.002413750313756567
Enode,KCl,-0.8,0.25,50,7.804293731343285e-06,5.071598089961512e-07,8.25908782752902e-06,4.983676251980641e-07,4.547940961857366e-07,2.6984780587771093e-08,1.0584980556022383,0.005994652113737836
Enode,KCl,-0.5,0.105,10,8.334449320066334e-06,4.7670739263946287e-07,8.379978043117744e-06,4.346659532939438e-07,4.5528723051409194e-08,4.4107567358705924e-08,1.0056755648267275,0.005791401806153964
Enode,KCl,-0.5,0.105,20,8.074916451077945e-06,4.563416692822438e-07,8.268953134328358e-06,4.3795118929060694e-07,1.940366832504127e-07,3.9834603372746994e-08,1.024174443152159,0.0056233712307852575
Enode,KCl,-0.5,0.105,50,8.085789767827528e-06,5.146029961471307e-07,8.401111459369818e-06,5.097443312770548e-07,3.153216915422882e-07,5.092473090130233e-09,1.03913312469517,0.0032122335873543645
Enode,KCl,-0.5,0.11,10,8.221091310116086e-06,5.77722834058988e-07,8.318435970149253e-06,4.730416753403513e-07,9.734466003316696e-08,1.1146956162170573e-07,1.0125128998491266,0.014902277822984438
Enode,KCl,-0.5,0.11,20,8.085256019900497e-06,5.147081717633846e-07,8.270791608623548e-06,5.116514149137943e-07,1.8553558872305116e-07,8.468096966517297e-09,1.023029221174945,0.0021508092644619537
Enode,KCl,-0.5,0.11,50,8.10310776119403e-06,4.845804208019516e-07,8.421809933665008e-06,4.3362746492307063e-07,3.1870217247097923e-07,5.8353019608747375e-08,1.0396914978916107,0.0095769104252275
Enode,KCl,-0.5,0.125,10,8.174653217247098e-06,4.789789593676005e-07,8.229414195688226e-06,4.495076655800297e-07,5.476097844112813e-08,2.976931079363383e-08,1.0068608261573182,0.004171684045607605
Enode,KCl,-0.5,0.125,20,8.005130762852405e-06,5.191372827415149e-07,8.180623449419568e-06,5.252436495594969e-07,1.754926865671639e-07,8.47974550106233e-09,1.0219524013221237,0.000992747378673329
Enode,KCl,-0.5,0.125,50,8.084010663349916e-06,5.044640167948645e-07,8.361731061359868e-06,5.183008101173101e-07,2.777203980099511e-07,3.9090811574755866e-08,1.034378287455624,0.004459328413098862
Enode,KCl,-0.5,0.15,10,8.005190199004975e-06,5.177237395289598e-07,8.078178490878939e-06,4.87476491379172e-07,7.298829187396235e-08,6.186066734609337e-08,1.0093270516696584,0.007925876841252002
Enode,KCl,-0.5,0.15,20,7.943747263681592e-06,5.30695939340742e-07,8.13171393034826e-06,5.80902200948429e-07,1.8796666666666687e-07,5.3277435295587616e-08,1.0234437788365678,0.005399564397572085
Enode,KCl,-0.5,0.15,50,7.96869606965174e-06,5.181990097105902e-07,8.20984255389718e-06,4.7374012344900944e-07,2.411464842454394e-07,5.0877299884786965e-08,1.030606081761251,0.008443477533731963
Enode,KCl,-0.5,0.25,10,7.922534245439469e-06,5.410396519592348e-07,7.969150431177446e-06,5.34462873900671e-07,4.661618573797632e-08,6.627290304761234e-09,1.005942537248563,0.00129074915087995
Enode,KCl,-0.5,0.25,20,7.807595373134328e-06,5.153737135411226e-07,7.94971751243781e-06,5.48977417191879e-07,1.4212213930348217e-07,5.420796836260857e-08,1.0180705434850332,0.0061985218983878045
Enode,KCl,-0.5,0.25,50,7.851048358208956e-06,5.40222182936045e-07,8.095713963515754e-06,5.748497161725595e-07,2.446656053067985e-07,4.9286824067000776e-08,1.0310629852083453,0.004932602933158987
Enode,KCl,0.5,0.105,10,8.212155339966832e-06,4.5854282036331714e-07,8.168188291873963e-06,4.4401057070639956e-07,-4.396704809286851e-08,3.265350156729907e-08,0.9947054301911725,0.003738449863693881
Enode,KCl,0.5,0.105,20,8.059239585406302e-06,4.1828980318173716e-07,8.082290812603648e-06,4.3725271327770655e-07,2.3051227197346294e-08,4.719263375403339e-08,1.0027910470922907,0.005682640284084904
Enode,KCl,0.5,0.105,50,8.1090779933665e-06,5.225068269172639e-07,8.061849104477611e-06,5.188010725682733e-07,-4.722888888888815e-08,4.587714965032974e-08,0.9941885320496269,0.005422640724470905
Enode,KCl,0.5,0.11,10,8.165658258706467e-06,5.237327785010751e-07,8.161071708126037e-06,5.364172984926466e-07,-4.586550580431208e-09,2.400643992253543e-08,0.9993688110131888,0.002941635132169525
Enode,KCl,0.5,0.11,20,8.035259386401327e-06,4.6808558820692574e-07,8.07054784411277e-06,4.919717821295726e-07,3.528845771144245e-08,5.629369732860136e-08,1.0042960760693689,0.006749364256617903
Enode,KCl,0.5,0.11,50,8.129164029850747e-06,4.314330542299484e-07,8.073414361525705e-06,4.602266465643932e-07,-5.574966832504218e-08,3.579943839070946e-08,0.9930015814246979,0.004755753821170786
Enode,KCl,0.5,0.125,10,8.021440729684908e-06,5.678244156288406e-07,8.077763582089552e-06,5.574193538651603e-07,5.632285240464411e-08,2.381465397133789e-08,1.007113390505135,0.003212003268371552
Enode,KCl,0.5,0.125,20,7.954323499170813e-06,4.983988443111845e-07,7.93785552238806e-06,4.720105612532698e-07,-1.6467976782752945e-08,2.8983754354263924e-08,0.9980690900509215,0.0036269991102158942
Enode,KCl,0.5,0.125,50,8.015292189054726e-06,5.031803831578029e-07,8.007898590381427e-06,4.975884039672274e-07,-7.3935986732999864e-09,2.28414613462037e-08,0.9991073387631513,0.00274188793560985
Enode,KCl,0.5,0.15,10,7.94497271973466e-06,4.896552296050368e-07,7.947483300165837e-06,4.83945780050058e-07,2.5105804311778434e-09,8.808982066546087e-09,1.0003480910449978,0.0011324477840907502
Enode,KCl,0.5,0.15,20,7.885822686567163e-06,4.963262637580397e-07,7.921229618573798e-06,5.124850419457284e-07,3.540693200663353e-08,7.76375552229163e-08,1.004443954712174,0.009482224347635968
Enode,KCl,0.5,0.15,50,7.94137447761194e-06,5.144562521714692e-07,7.98463008291874e-06,5.280226403170741e-07,4.325560530679943e-08,5.8392053107469606e-08,1.005401945231069,0.007058975594887894
Enode,KCl,0.5,0.25,10,7.788300447761194e-06,5.340905636640554e-07,7.778870447761193e-06,4.920123048233686e-07,-9.42999999999956e-09,4.247708776631124e-08,0.9990435485592898,0.00560943571449223
Enode,KCl,0.5,0.25,20,7.78893295190713e-06,4.850002417053924e-07,7.780531144278608e-06,4.859847306838334e-07,-8.401807628524233e-09,2.5420996102363904e-08,0.998916463855223,0.0031526153137669682
Enode,KCl,0.5,0.25,50,7.897743532338308e-06,5.269638164234859e-07,7.846284195688227e-06,4.984580384524954e-07,-5.14593366500824e-08,3.076406870892494e-08,0.9936325946778523,0.0036099871109974823
Enode,KCl,0.8,0.105,10,8.042218109452737e-06,4.590549356564551e-07,8.142883747927031e-06,4.513476820653625e-07,1.0066563847429506e-07,2.4425289590315398e-08,1.0125836676323126,0.0032580257751482957
Enode,KCl,0.8,0.105,20,8.052755257048093e-06,3.912658049863867e-07,8.200372968490879e-06,4.846186535936637e-07,1.4761771144278584e-07,9.353252623475291e-08,1.0179743500394807,0.011053128821177673
Enode,KCl,0.8,0.105,50,8.0972164013267e-06,4.4779691769686233e-07,8.36382663349917e-06,5.66417155808413e-07,2.6661023217247144e-07,1.2704896761306643e-07,1.0324490132951445,0.01428640167598771
Enode,KCl,0.8,0.11,10,8.046112736318408e-06,4.933302956137126e-07,8.142349950248756e-06,5.014572293219625e-07,9.623721393034791e-08,1.255083687043686e-08,1.0119489381387126,0.0011973487094984721
Enode,KCl,0.8,0.11,20,8.059180298507461e-06,4.537237430053451e-07,8.202191724709783e-06,4.807720585629623e-07,1.4301142620232162e-07,3.5834360375498246e-08,1.0176566985103102,0.003738604249097333
Enode,KCl,0.8,0.11,50,8.073849021558872e-06,4.6583925392938476e-07,8.348524908789386e-06,4.869715963767133e-07,2.746758872305139e-07,6.378037673258481e-08,1.0340092895452908,0.0073938608869654095
Enode,KCl,0.8,0.125,10,7.959384411276949e-06,4.977006660904816e-07,8.059259220563848e-06,4.611953012600139e-07,9.987480928689863e-08,3.7752369755862875e-08,1.0127816458748293,0.005720249656947723
Enode,KCl,0.8,0.125,20,7.97826424543947e-06,4.736705542524203e-07,8.110936500829186e-06,4.76243944002426e-07,1.3267225538971704e-07,2.817899337301149e-09,1.0166564969737975,0.0007027341754991134
Enode,KCl,0.8,0.125,50,8.010745456053068e-06,4.7250101590708145e-07,8.2693087893864e-06,5.35089401670964e-07,2.585633333333317e-07,6.4195199960012e-08,1.032037096511072,0.006370471513579789
Enode,KCl,0.8,0.15,10,7.946494875621891e-06,4.970503652286854e-07,8.074955970149252e-06,5.369623501240684e-07,1.2846109452736186e-07,6.810355360573833e-08,1.0160078660978842,0.007926689864402819
Enode,KCl,0.8,0.15,20,7.876886898839138e-06,4.719493780463769e-07,8.054771542288557e-06,4.750866487910968e-07,1.7788464344941925e-07,3.177936126913287e-08,1.0226258007869553,0.004032504571685823
Enode,KCl,0.8,0.15,50,7.953216434494196e-06,5.120892803276745e-07,8.270336832504145e-06,5.500516943062451e-07,3.171203980099499e-07,6.205874007798013e-08,1.0397865430156419,0.006494584452538887
Enode,KCl,0.8,0.25,10,7.831951177446104e-06,4.944873613637834e-07,7.975792918739635e-06,5.40926289822508e-07,1.4384174129353184e-07,5.490628119926962e-08,1.0181612052915987,0.006171570182270883
Enode,KCl,0.8,0.25,20,7.809196533996684e-06,5.070269082688761e-07,7.983325240464345e-06,5.085525698968671e-07,1.7412870646766076e-07,2.3940389824755206e-08,1.0223586063813188,0.003279964548270752
Enode,KCl,0.8,0.25,50,7.949262553897182e-06,4.783941004607255e-07,8.163582354892205e-06,4.906493229198963e-07,2.1431980099502362e-07,7.77837319526952e-08,1.0269907383565606,0.009476085683952655
Enode,MgCl2,-0.8,0.105,10,8.781710514096186e-06,1.444172663263546e-06,9.158929734660035e-06,1.4139497871633592e-06,3.772192205638469e-07,1.4901252991998077e-07,1.0441991065159297,0.01854646868448937
Enode,MgCl2,-0.8,0.105,20,8.595681708126037e-06,1.4217077536359315e-06,9.11442751243781e-06,1.3771541740516213e-06,5.187458043117754e-07,1.2478352248783523e-07,1.062171442653426,0.02011895001311088
Enode,MgCl2,-0.8,0.105,50,8.553394908789385e-06,1.4993521999901194e-06,9.185281956882253e-06,1.4123195487392374e-06,6.31887048092869e-07,2.559293297172977e-07,1.076919667790422,0.03518770846381265
Enode,MgCl2,-0.8,0.11,10,8.75707752902156e-06,1.5084599616063697e-06,9.08548767827529e-06,1.4631487591903672e-06,3.284101492537308e-07,1.0637268661714502e-07,1.0389253378364496,0.015485576075129818
Enode,MgCl2,-0.8,0.11,20,8.548393399668326e-06,1.4020917789551933e-06,9.037724195688227e-06,1.3890664636709712e-06,4.893307960199005e-07,1.2766847352524547e-07,1.058553429217085,0.017759312074488307
Enode,MgCl2,-0.8,0.11,50,8.529019336650083e-06,1.4398748879489984e-06,9.198211575456052e-06,1.3499790476584719e-06,6.691922388059699e-07,1.8935559915848092e-07,1.0814914313023942,0.031434280585372544
Enode,MgCl2,-0.8,0.125,10,8.720050016583748e-06,1.5685795162987503e-06,9.020228938640132e-06,1.512302599367189e-06,3.001789220563844e-07,1.8427705810792383e-07,1.0360306385159992,0.02206579986366804
Enode,MgCl2,-0.8,0.125,20,8.467240414593698e-06,1.4165170859670392e-06,8.980096583747927e-06,1.3772078233376466e-06,5.128561691542286e-07,1.7597041200396916e-07,1.0623515010264855,0.02381479949444968
Enode,MgCl2,-0.8,0.125,50,8.439760912106136e-06,1.3946974233392876e-06,9.15481855721393e-06,1.3972528228677742e-06,7.150576451077937e-07,2.421686689517275e-07,1.08648751379864,0.03032212948196534
Enode,MgCl2,-0.8,0.15,10,8.530680132669983e-06,1.5102911320780382e-06,8.893939784411278e-06,1.4260594520872002e-06,3.63259651741294e-07,1.6368515990136134e-07,1.04473276497148,0.022772692973605374
Enode,MgCl2,-0.8,0.15,20,8.396011111111113e-06,1.4315842635612664e-06,8.936761592039801e-06,1.4336821145274837e-06,5.407504809286897e-07,1.34099587504282e-07,1.065668469706871,0.018093931702786375
Enode,MgCl2,-0.8,0.15,50,8.342890912106137e-06,1.4272116630609833e-06,9.059410381426201e-06,1.3609484996700783e-06,7.165194693200647e-07,2.2889904014554996e-07,1.0887337074877446,0.03346777058830399
Enode,MgCl2,-0.8,0.25,10,7.930461940298508e-06,1.4123572882768615e-06,8.355148242122722e-06,1.4151131026893335e-06,4.2468630182421245e-07,8.60274416939088e-08,1.054710048070502,0.013586042936271657
Enode,MgCl2,-0.8,0.25,20,7.992597081260364e-06,1.4353660285876127e-06,8.558396550580432e-06,1.3672479483773768e-06,5.657994693200672e-07,1.1254497192343154e-07,1.0735564955987689,0.024649204414472898
Enode,MgCl2,-0.8,0.25,50,8.198257960199005e-06,1.4691599612846649e-06,8.928063665008292e-06,1.392826774705508e-06,7.298057048092858e-07,1.710818808902966e-07,1.092301176340776,0.03128965276751679
Enode,MgCl2,-0.5,0.105,10,9.036719817578774e-06,1.5772830301758294e-06,9.248863598673301e-06,1.5328816783422936e-06,2.1214378109452673e-07,5.347807590656432e-08,1.0246174245988318,0.010102655834545076
Enode,MgCl2,-0.5,0.105,20,8.747153316749585e-06,1.5477358257652077e-06,9.114213399668326e-06,1.5533569360226116e-06,3.670600829187407e-07,8.616050525058706e-08,1.0427975329352985,0.011215311339541758
Enode,MgCl2,-0.5,0.105,50,8.677882968490878e-06,1.5418083740404629e-06,9.22395422885572e-06,1.5032047611957003e-06,5.460712603648414e-07,1.5497684759382642e-07,1.064935696683721,0.0224803755414198
Enode,MgCl2,-0.5,0.11,10,9.001172819237147e-06,1.547049446860671e-06,9.189497180762852e-06,1.5444558059141737e-06,1.8832436152570552e-07,2.8607991984703384e-08,1.0213876663539176,0.00486899679639357
Enode,MgCl2,-0.5,0.11,20,8.681777562189055e-06,1.4333105406018726e-06,8.994547064676615e-06,1.4445609401035789e-06,3.1276950248756154e-07,8.806197720235839e-08,1.0365421514323925,0.010307145694565938
Enode,MgCl2,-0.5,0.11,50,8.747015356550581e-06,1.5382374866598414e-06,9.246334494195687e-06,1.467453316629997e-06,4.993191376451073e-07,1.3999038222652475e-07,1.0594003045517117,0.022739947582280002
Enode,MgCl2,-0.5,0.125,10,8.862826351575457e-06,1.58418768643586e-06,9.092806019900497e-06,1.5382635534373242e-06,2.2997966832504112e-07,8.960401679388678e-08,1.0271665869575608,0.012534997281054089
Enode,MgCl2,-0.5,0.125,20,8.664063747927032e-06,1.5216887408020754e-06,8.979721177446102e-06,1.4982612876804444e-06,3.1565742951907153e-07,8.433980543484856e-08,1.0375468260523324,0.012439337677814877
Enode,MgCl2,-0.5,0.125,50,8.651727545605305e-06,1.4831760620286655e-06,9.108837031509122e-06,1.5443053678368163e-06,4.571094859038153e-07,1.4467880923741546e-07,1.0530413761100896,0.014443987442943064
Enode,MgCl2,-0.5,0.15,10,8.717025058043117e-06,1.5390447381205619e-06,8.895898524046435e-06,1.5314894516615207e-06,1.7887346600331718e-07,1.16329021425532e-07,1.0210084614601247,0.01300761203254175
Enode,MgCl2,-0.5,0.15,20,8.468209402985074e-06,1.5206531313916331e-06,8.863950199004977e-06,1.5000463346389982e-06,3.957407960199021e-07,7.322776786569322e-08,1.0480889366457584,0.01324912300568581
Enode,MgCl2,-0.5,0.15,50,8.556024527363184e-06,1.4690728246405915e-06,9.004749436152572e-06,1.456772513823799e-06,4.487249087893873e-07,9.114661461442293e-08,1.0536962050870458,0.014218177075881732
Enode,MgCl2,-0.5,0.25,10,7.993743781094528e-06,1.4116706266092066e-06,8.210949767827529e-06,1.3667423687127648e-06,2.172059867330023e-07,4.885636014159149e-08,1.0285642675225752,0.012161877822852774
Enode,MgCl2,-0.5,0.25,20,8.092669502487562e-06,1.4065530008931753e-06,8.378100381426202e-06,1.4117760321519925e-06,2.8543087893864066e-07,4.2711200399216325e-08,1.0359349457979996,0.007301020949323108
Enode,MgCl2,-0.5,0.25,50,8.289177346600331e-06,1.493127327343925e-06,8.673652388059702e-06,1.4938710294851886e-06,3.8447504145936955e-07,7.63418803494082e-08,1.0474096600927363,0.011708881692394335
Enode,MgCl2,0.5,0.105,10,8.91236656716418e-06,1.5490905000597395e-06,8.758975704809287e-06,1.5074279493546809e-06,-1.5339086235489288e-07,6.119930392629091e-08,0.983054487076371,0.00528047719530225
Enode,MgCl2,0.5,0.105,20,8.678258225538973e-06,1.4426543059607498e-06,8.530897230514098e-06,1.477724573212542e-06,-1.4736099502487482e-07,3.650394708162918e-08,0.982187513603856,0.007536993292553981
Enode,MgCl2,0.5,0.105,50,8.661513250414593e-06,1.4613880788733577e-06,8.421158142620233e-06,1.4498848590099907e-06,-2.4035510779436095e-07,2.701565983816775e-08,0.9718576816667784,0.004240252719696506
Enode,MgCl2,0.5,0.11,10,8.836886500829187e-06,1.4664153531788749e-06,8.756287048092868e-06,1.5194115835870828e-06,-8.059945273631964e-08,5.3607447551983855e-08,0.9899623159414449,0.00841134025153654
Enode,MgCl2,0.5,0.11,20,8.623694660033167e-06,1.4793873448883326e-06,8.457414825870647e-06,1.4616011659524017e-06,-1.6627983416252125e-07,1.7944275963349242e-08,0.9805587799803653,0.0014370398073711241
Enode,MgCl2,0.5,0.11,50,8.59279535655058e-06,1.4621875611399193e-06,8.403701857379766e-06,1.4354973615730315e-06,-1.890934991708128e-07,5.2443173937532105e-08,0.9779522208625729,0.004791313776410677
Enode,MgCl2,0.5,0.125,10,8.735174112769485e-06,1.5598603295061808e-06,8.677466384742952e-06,1.564500444974718e-06,-5.7707728026533984e-08,5.928600668732021e-09,0.9931648220022898,0.0019958865638922112
Enode,MgCl2,0.5,0.125,20,8.553592819237148e-06,1.4197363437582134e-06,8.391761210613599e-06,1.4479285777342109e-06,-1.618316086235497e-07,3.542231879669557e-08,0.9803182277380048,0.007154337094813367
Enode,MgCl2,0.5,0.125,50,8.519945257048093e-06,1.4147173311946684e-06,8.292558059701492e-06,1.4783472125616202e-06,-2.2738719734660085e-07,7.18099338238823e-08,0.9718857527231161,0.013221393557545476
Enode,MgCl2,0.5,0.15,10,8.601909237147595e-06,1.4915295779636385e-06,8.519095157545605e-06,1.5037172756297436e-06,-8.28140796019902e-08,2.1687909444124497e-08,0.9900083404951278,0.0035967555748308766
Enode,MgCl2,0.5,0.15,20,8.467358922056385e-06,1.4445312469110423e-06,8.33907535655058e-06,1.4619521152650756e-06,-1.2828356550580485e-07,4.6606415698841685e-08,0.9842358490818763,0.007565285032925498
Enode,MgCl2,0.5,0.15,50,8.507550132669984e-06,1.359701311120178e-06,8.260234908789387e-06,1.4111892937808604e-06,-2.473152238805972e-07,6.533777354568346e-08,0.9697209530318406,0.011979874197701287
Enode,MgCl2,0.5,0.25,10,7.939002653399667e-06,1.427969787416663e-06,7.949499900497512e-06,1.4460036755076026e-06,1.0497247097844462e-08,1.9130175700950812e-08,1.001043865271412,0.002492471371133105
Enode,MgCl2,0.5,0.25,20,8.092234726368159e-06,1.4616330925009508e-06,7.958198208955223e-06,1.4153586844915087e-06,-1.3403651741293546e-07,4.627868244647245e-08,0.9838010072893786,0.003041680858082522
Enode,MgCl2,0.5,0.25,50,8.293091940298507e-06,1.4334540042803736e-06,8.144524660033167e-06,1.441394663065428e-06,-1.4856728026534087e-07,1.4812748002292737e-08,0.9815593500208392,0.004888511937524241
Enode,MgCl2,0.8,0.105,10,8.638758855721394e-06,1.4355402679218646e-06,8.697612454394693e-06,1.500208197190506e-06,5.8853598673299736e-08,1.0244957126158425e-07,1.0061180811803307,0.010478910591590593
Enode,MgCl2,0.8,0.105,20,8.472933814262024e-06,1.3465203839333169e-06,8.64342479270315e-06,1.4971637482726483e-06,1.70490978441127e-07,1.9367637880661588e-07,1.0185713074089022,0.019825352500445564
Enode,MgCl2,0.8,0.105,50,8.421573084577114e-06,1.3869005472377789e-06,8.838331409618573e-06,1.6294123352004982e-06,4.1675832504145977e-07,3.206879229625683e-07,1.0473488961449198,0.0309246719840126
Enode,MgCl2,0.8,0.11,10,8.622290862354892e-06,1.4053289453474878e-06,8.642753233830846e-06,1.460404429532739e-06,2.0462371475951797e-08,1.31373882234584e-07,1.0018086709520764,0.013837046941129206
Enode,MgCl2,0.8,0.11,20,8.463128341625207e-06,1.3577705023471366e-06,8.593151127694857e-06,1.5094124009422841e-06,1.300227860696511e-07,2.1006681742907385e-07,1.0137411981743742,0.02210085531661681
Enode,MgCl2,0.8,0.11,50,8.42088094527363e-06,1.3351030094018362e-06,8.782835555555555e-06,1.5434858031695614e-06,3.619546102819249e-07,3.3561530101434496e-07,1.0413683434163215,0.03397335302490958
Enode,MgCl2,0.8,0.125,10,8.54252207296849e-06,1.4231573952809595e-06,8.575497097844113e-06,1.4836668584268768e-06,3.297502487562185e-08,1.1127053353353802e-07,1.00320532474435,0.011670821973056267
Enode,MgCl2,0.8,0.125,20,8.352597694859039e-06,1.3561535718359377e-06,8.520835257048093e-06,1.4557364837845958e-06,1.6823756218905468e-07,1.4234019604696336e-07,1.0192680316524487,0.013912466353892402
Enode,MgCl2,0.8,0.125,50,8.407457379767826e-06,1.3239745421845752e-06,8.791218922056384e-06,1.5370323745509998e-06,3.837615422885577e-07,3.1700653263584484e-07,1.043899678349777,0.031849578492701154
Enode,MgCl2,0.8,0.15,10,8.437586368159203e-06,1.4762138754079137e-06,8.472340746268656e-06,1.5401909063638525e-06,3.4754378109452005e-08,9.233116761090652e-08,1.0033486745718536,0.009697807888046358
Enode,MgCl2,0.8,0.15,20,8.296650248756217e-06,1.3541158576450335e-06,8.479240215588723e-06,1.5136668506971857e-06,1.8258996683250462e-07,1.8238553832244842e-07,1.0202926825507184,0.01841864463060519
Enode,MgCl2,0.8,0.15,50,8.334014527363184e-06,1.29581156377197e-06,8.725032504145936e-06,1.5232911473202052e-06,3.910179767827526e-07,3.0589865593351993e-07,1.0449973766597223,0.030188999992748433
Enode,MgCl2,0.8,0.25,10,7.960788341625205e-06,1.3788202593894756e-06,8.129143996683251e-06,1.441451606257668e-06,1.6835565505804518e-07,1.03971665308348e-07,1.0207200892528112,0.010340413784125771
Enode,MgCl2,0.8,0.25,20,8.03733510779436e-06,1.3731100586883876e-06,8.261915572139303e-06,1.505763401152833e-06,2.245804643449424e-07,1.4430457914478112e-07,1.0265391895206226,0.013761534759355463
Enode,MgCl2,0.8,0.25,50,8.327233847429519e-06,1.3879118749932452e-06,8.632787960199005e-06,1.5844748874650496e-06,3.0555411276948615e-07,2.939200715670018e-07,1.0349902790058616,0.02945547061145433
