Type,Chip,Disp,Electrolyte,IDSmed (10s - 160s) [A],Std IDSmed [A],IGSmed (10s - 160s) [A],Std IGSmed [A],IDSant_pos (35s - 50s) [A],Std IDSant_pos [A],IDSdep_pos (150s - 165s) [A],Std IDSdep_pos [A],delIDS_pos [A],Std delIDS_pos [A],IGSant_pos (35s - 50s) [A],Std IGSant_pos [A],IGSdur_pos (75s - 85s) [A],Std IGSdur_pos [A],IGSdep_pos (150s - 165s) [A],Std IGSdep_pos [A],delIGS_pos [A],Std delIGS_pos [A],IGS_pico_ant_pos [A],IGS_pico_dep_pos [A],IDSant_neg (35s - 50s) [A],Std IDSant_neg [A],IDSdep_neg (150s - 165s) [A],Std IDSdep_neg [A],delIDS_neg [A],Std delIDS_neg [A],IGSant_neg (35s - 50s) [A],Std IGSant_neg [A],IGSdur_neg (75s - 85s) [A],Std IGSdur_neg [A],IGSdep_neg (150s - 165s) [A],Std IGSdep_neg [A],delIGS_neg [A],Std delIGS_neg [A],IGS_pico_ant_neg [A],IGS_pico_dep_neg [A]
Enode,1,1,MgCl2,1.064081852839229e-05,1.1015972314450165e-07,-4.1580557051452025e-07,9.139062702131221e-08,1.0942457978723407e-05,3.4741641337692616e-08,1.459071063829787e-05,5.42080327982685e-08,3.6482526595744617e-06,6.438549885412884e-08,-2.366749042553194e-07,4.4573991196438084e-08,-7.34252705179283e-08,3.498842715707365e-08,-7.000368351063835e-08,4.46373823753074e-08,1.666712207446811e-07,6.308198313702211e-08,5.62668e-06,-6.35386e-06,1.2452306117021275e-05,4.27580640637795e-08,1.162363111702126e-05,5.22419602983618e-08,-8.286750000000163e-07,6.750906945216977e-08,-2.95613659574468e-07,4.38527329343239e-08,-5.657930876494023e-07,3.432216571080979e-08,-2.042411037234042e-07,4.563442742991174e-08,9.137255585106373e-08,6.328951850555522e-08,-7.09295e-06,6.63996e-06
Enode,1,2,KCl,1.1700590375899878e-05,9.371770590814329e-08,-8.934808693681904e-08,4.2445442571281413e-08,1.195484867021278e-05,2.780549966392057e-08,1.4688167553191486e-05,3.3019738910695444e-08,2.7333188829787053e-06,4.3167684316983954e-08,-1.0044005664893609e-07,3.898177234073258e-08,-3.4622911553784853e-08,4.633976195431208e-08,-9.676234867021276e-08,4.330582050100881e-08,3.6777079787233404e-09,5.826639395131897e-08,5.96046e-06,-6.48499e-06,1.3030277393617029e-05,3.42893529771073e-08,1.1985512500000012e-05,2.407822868623592e-08,-1.0447648936170154e-06,4.1898935836788646e-08,3.0975385638297875e-08,3.705015451276464e-08,-2.716166613545823e-07,3.6598321963839546e-08,2.218688414893615e-07,4.628553307446043e-08,1.908934558510636e-07,5.9287979569274464e-08,-6.9499e-06,7.16448e-06
Enode,1,3,KCl,9.989623015195916e-06,6.768072988494988e-08,-3.354958240469162e-07,5.8387736042452406e-08,1.0117822872340437e-05,4.09903137598099e-08,1.2571540691489373e-05,3.909559113830993e-08,2.453717819148936e-06,5.664513278810069e-08,-7.777130531914884e-08,4.1967858820457305e-08,-1.0947297370517933e-07,4.021837500041327e-08,-6.467734042553183e-09,4.82105379023628e-08,7.130357127659565e-08,6.391836307986145e-08,5.8651e-06,-6.12736e-06,1.1280846276595747e-05,4.098780744846728e-08,1.04012385638298e-05,3.923550809575329e-08,-8.796077127659482e-07,5.6739981097675314e-08,-2.41367218085106e-07,5.028306156057234e-08,-5.146422270916338e-07,3.845604472704166e-08,-2.0734816063829789e-07,4.31344349902691e-08,3.4019057446808136e-08,6.624926989661138e-08,-6.77109e-06,6.54459e-06
Enode,2,1,KCl,1.139003908291089e-05,7.4887268469249e-08,-4.468838205811868e-07,4.112562512667495e-08,1.1317238563829788e-05,3.110076487052872e-08,1.469514202127661e-05,2.9814992920289045e-08,3.3779034574468213e-06,4.3083539529254084e-08,-4.827976090425537e-07,5.856240968456429e-08,-4.532802310756973e-07,4.9542020367142825e-08,-4.626334228723401e-07,4.633838390091639e-08,2.016418617021364e-08,7.46779863856241e-08,6.29425e-06,-7.31945e-06,1.2618424468085069e-05,3.5180105548207094e-08,1.1487243882978723e-05,3.931320273329208e-08,-1.1311805851063438e-06,5.275573651776567e-08,-4.465275e-07,3.6425787873757776e-08,-8.363172749003982e-07,3.483651784630783e-08,-3.583571542553183e-07,4.140354636788349e-08,8.81703457446817e-08,5.514609391481392e-08,-8.04663e-06,7.45058e-06
Enode,2,2,MgCl2,9.800507272727366e-06,8.963366215494543e-08,-3.624776611570282e-07,4.639365126208928e-08,9.928262234042558e-06,2.9251669697000555e-08,1.2798995478723406e-05,2.8507118283630226e-08,2.8707332446808487e-06,4.08450238450084e-08,-3.25891521276596e-07,3.294510972923823e-08,-2.43168019920319e-07,3.6643149658232166e-08,-2.58297375e-07,3.836198121342272e-08,6.7594146276596e-08,5.0567003645564615e-08,5.54323e-06,-6.46114e-06,1.0962661968085091e-05,2.8739993326077425e-08,1.003621904255319e-05,4.6975753815639015e-08,-9.264429255319035e-07,5.507003416496578e-08,-4.6618437499999963e-07,4.9107837430431243e-08,-8.18364565737052e-07,3.6464498183063786e-08,-2.91650531914894e-07,4.2066045183437126e-08,1.7453384308510561e-07,6.466167222140668e-08,-7.34329e-06,6.35386e-06
Enode,2,3,MgCl2,1.003346809117567e-05,6.471496131258161e-08,-3.942488099173542e-07,5.126404329486174e-08,1.0043605398936164e-05,3.850751334965376e-08,1.3003330319148952e-05,5.0293109782863945e-08,2.959724920212789e-06,6.334213033996384e-08,-2.438084494680849e-07,5.214455405395119e-08,-2.21035976095618e-07,4.6952762191796893e-08,-2.413671861702132e-07,4.225670827990807e-08,2.4412632978717244e-09,6.711694206486682e-08,4.81606e-06,-5.68628e-06,1.0845502925531927e-05,4.530410803394953e-08,1.0922547872340426e-05,4.033886391716619e-08,7.704494680849852e-08,6.066041663951395e-08,-3.1825073936170225e-07,4.1912197962580654e-08,-5.722996254980083e-07,4.2247634729002114e-08,-2.222810478723404e-07,4.015986764723006e-08,9.596969148936185e-08,5.804694055243209e-08,-6.02007e-06,5.42402e-06
Standard,1,1,KCl,6.811779517462016e-06,3.6868165782516254e-08,-7.307640258597792e-08,5.090943301742568e-08,6.81173263297872e-06,3.07599192063677e-08,9.236627765957448e-06,3.455097499920581e-08,2.424895132978727e-06,4.6259512567449456e-08,-1.482823614361701e-07,4.486080790737832e-08,-7.912450438247017e-08,3.992353893203581e-08,-1.0120097367021262e-07,4.495923679725145e-08,4.7081387765957486e-08,6.351240083238882e-08,1.08361e-05,-1.13487e-05,7.627523617021282e-06,2.8742385847657112e-08,7.126338085106379e-06,2.9843923898454323e-08,-5.011855319149037e-07,4.143409873367989e-08,-1.5497207127659552e-07,5.7616563035950886e-08,-5.258032430278889e-07,5.2809068726125984e-08,-8.775825851063813e-08,4.845942558687969e-08,6.72138127659574e-08,7.528601639272748e-08,-1.27792e-05,1.15275e-05
Standard,1,2,MgCl2,1.2368833990936194e-05,4.070437590286208e-08,-2.736855737136797e-07,4.763572153878735e-08,1.2716307180851051e-05,3.0275414474969633e-08,1.714157021276594e-05,4.137451087752721e-08,4.425263031914889e-06,5.126841983117695e-08,-1.820478704787231e-07,3.927450946620048e-08,-5.452278127490046e-08,4.575760451866605e-08,-1.7764090691489312e-07,4.545983009211606e-08,4.4069635638299885e-09,6.007564602910843e-08,9.13143e-06,-9.97782e-06,1.401540744680846e-05,2.8737176810950546e-08,1.3008115691489385e-05,4.6619225717013976e-08,-1.0072917553190777e-06,5.476474721495326e-08,-1.3651993085106378e-07,4.5458855103686084e-08,-4.68858175298805e-07,5.0674780016031136e-08,-4.502046010638296e-09,6.041722415205636e-08,1.320178848404255e-07,7.560918252155455e-08,-1.25051e-05,9.85861e-06
Standard,1,3,MgCl2,1.0953583337776646e-05,8.18760083844032e-08,-1.3912935691815637e-07,5.168287392739111e-08,1.1503160904255328e-05,3.135219185501177e-08,1.4922650531914888e-05,3.6046859868551386e-08,3.4194896276595606e-06,4.7773800775073856e-08,-1.707609840425528e-07,4.413617837336701e-08,-1.803337386454184e-07,5.8604118002049487e-08,-2.41937853723404e-07,4.754924163643284e-08,-7.11768696808512e-08,6.487628705163043e-08,8.72612e-06,-9.83477e-06,1.2159153191489348e-05,3.3980004950763353e-08,1.1286044946808513e-05,4.27454509205033e-08,-8.731082446808341e-07,5.460599152887033e-08,-1.7615079654255285e-07,3.845007580063846e-08,-5.02293784860558e-07,3.8939081901985465e-08,1.775453457446804e-09,4.8282560779630434e-08,1.7792624999999966e-07,6.1722070643438e-08,-1.22905e-05,9.76324e-06
Standard,2,1,KCl,8.561714993335029e-06,6.037700326266617e-08,-3.908704956011805e-07,5.9415291734232415e-08,8.45999210106383e-06,2.6234753674730048e-08,1.1506014627659564e-05,5.489532316564847e-08,3.0460225265957343e-06,6.084208088021597e-08,-3.290620026595742e-07,3.4296834354091575e-08,-2.0925757768924305e-07,3.675075174976616e-08,-2.637505744680853e-07,4.2752075448658336e-08,6.531142819148895e-08,5.480887521086134e-08,9.23872e-06,-9.91821e-06,9.417405957446802e-06,2.84917167403823e-08,8.827481170212776e-06,3.123063487817069e-08,-5.899247872340253e-07,4.227446602510542e-08,-3.55535430851064e-07,4.3981376828659376e-08,-6.73936199203187e-07,3.732211034301463e-08,-2.426036835106384e-07,3.4940749676190866e-08,1.1293174734042567e-07,5.61713227161224e-08,-1.11222e-05,9.63211e-06
Standard,2,2,MgCl2,7.092329661423587e-06,6.186342309931999e-08,-9.493199250866673e-08,6.545824899767433e-08,7.309780505319153e-06,3.362378443122225e-08,9.866471382978724e-06,3.5727043474315114e-08,2.556690877659572e-06,4.9060987708085395e-08,-1.1711667367021252e-07,3.93904108904378e-08,-1.7715158964143432e-08,4.2440500788010847e-08,-7.352289680851052e-08,3.663911951148376e-08,4.359377686170199e-08,5.37961852615435e-08,8.97646e-06,-9.91821e-06,7.73278204787234e-06,3.2144867887866164e-08,7.225634867021272e-06,2.6781077080324248e-08,-5.071471808510676e-07,4.1839199575405815e-08,-1.988830297872339e-07,4.402833859835418e-08,-6.053551434262952e-07,3.541883341911964e-08,-1.7817975265957453e-08,5.0994012895680144e-08,1.8106505452127646e-07,6.737123979070087e-08,-1.28984e-05,1.00851e-05
Standard,2,3,KCl,7.463916113036656e-06,5.089123522108181e-08,-3.245600919754709e-07,5.7612657588603474e-08,7.540496303191482e-06,2.7497492974763444e-08,1.0257800797872345e-05,4.154910058426904e-08,2.7173044946808627e-06,4.9824089347010355e-08,-2.6765019414893656e-07,4.231558640043729e-08,-1.7273476852589655e-07,3.60062850558333e-08,-2.504346808510638e-07,3.690968823398369e-08,1.721551329787276e-08,5.615099231485359e-08,9.5129e-06,-1.00732e-05,8.365383962765964e-06,3.2911561056685516e-08,7.759414654255312e-06,2.98800533669784e-08,-6.059693085106523e-07,4.44520915188635e-08,-3.237356648936171e-07,6.04278750876178e-08,-7.08844235059761e-07,3.4750264050169836e-08,-1.8439399760638286e-07,4.8782275892258205e-08,1.3934166728723426e-07,7.766104898102482e-08,-1.14799e-05,1.02401e-05
